"","Gene","Cluster","Max_Weight","Rank"
"RDH10","RDH10",4,2.13381296737304,4
"F2RL2","F2RL2",1,2.25935473424829,4
"KIF12","KIF12",1,2.38783130330889,4
"NR4A1","NR4A1",1,2.85606912380368,4
"CX3CL1","CX3CL1",4,2.52520726008162,4
"SCUBE2","SCUBE2",1,2.6042047148478,4
"PPL","PPL",1,3.00949458081669,4
"TRG-AS1","TRG-AS1",2,2.96290664993255,4
"SOX17","SOX17",1,2.67921089302172,4
"HGF","HGF",1,3.05867739989438,4
"RNU5F-1","RNU5F-1",2,2.93532078389255,4
"CD1E","CD1E",3,2.46131849775435,4
"SHROOM3","SHROOM3",4,2.57209717314646,4
"ATF3","ATF3",1,2.08268241538897,4
"FCRL2","FCRL2",2,3.11025226435671,4
"SNORD63","SNORD63",2,2.51232424953881,4
"LMNB1","LMNB1",2,2.73896794897461,4
"TPX2","TPX2",4,2.36544856851348,4
"RGS4","RGS4",3,2.33812039412646,4
"CHPF","CHPF",4,3.42529342249653,4
"IRX5","IRX5",4,2.53509050220274,4
"GJA5","GJA5",4,2.626914085639,4
"NKD2","NKD2",1,2.38475160046127,4
"ALDH1A1","ALDH1A1",1,3.36924261177808,4
"ARPC4","ARPC4",4,2.66378430914539,4
"TNFRSF17","TNFRSF17",2,2.77124616928445,4
"Z82215.1","Z82215.1",3,4.36762815309079,4
"AL365361.1","AL365361.1",2,3.51996225797018,4
"PADI2","PADI2",4,2.72324359034469,4
"IGFBP2","IGFBP2",1,2.88092046335405,4
"BAMBI","BAMBI",4,2.86727204240988,4
"IL2RB","IL2RB",2,3.12802741550524,4
"CCL17","CCL17",2,2.3644465512455,4
"CCL4L2","CCL4L2",2,2.13933730416294,4
"MMP16","MMP16",1,2.92788866334467,4
"ASPN","ASPN",4,3.00626638763862,4
"CAPN8","CAPN8",1,2.55103473762928,4
"FRZB","FRZB",1,2.94059165344358,4
"PDZK1IP1","PDZK1IP1",4,2.90013100745199,4
"APOLD1","APOLD1",1,2.47152474963096,4
"CDKN2B","CDKN2B",4,2.95736927884183,4
"RBP4","RBP4",1,2.39055727433719,4
"CD3G","CD3G",2,3.53075610022028,4
"LRRN4CL","LRRN4CL",1,3.20779360469827,4
"SLC7A2","SLC7A2",1,3.44449448347896,4
"KLK10","KLK10",4,2.89503972432148,4
"IL21R","IL21R",2,3.14137886276505,4
"KLF4","KLF4",1,3.02431955579988,4
"SRPX","SRPX",1,3.01525217997608,4
"SLC12A8","SLC12A8",4,2.75763082395726,4
"NEURL1B","NEURL1B",1,2.79880479126762,4
"CD79B","CD79B",2,3.3978371311585,4
"SCML4","SCML4",2,3.01732540815864,4
"PKP1","PKP1",4,2.73818233393505,4
"CELF4","CELF4",1,2.1760265581537,4
"NLRC3","NLRC3",2,3.43536349091854,4
"DSG2","DSG2",4,3.34375800155595,4
"PLEKHS1","PLEKHS1",4,2.5676900408103,4
"ME1","ME1",3,2.7267938669088,4
"LINC02397","LINC02397",2,3.15361181925195,4
"GREM2","GREM2",1,2.95667993332752,4
"RUNX2","RUNX2",4,2.27087968178031,4
"OAS3","OAS3",2,2.57974191706399,4
"ARFGEF3","ARFGEF3",4,2.44047262971325,4
"FZD10-AS1","FZD10-AS1",1,3.09272965747134,4
"PLPP2","PLPP2",4,3.05726850690014,4
"TRAF3IP3","TRAF3IP3",2,3.68622420120568,4
"CDH3","CDH3",4,2.78184061743251,4
"SPHK1","SPHK1",4,2.94680560741214,4
"CDKN2A","CDKN2A",4,2.90179599429026,4
"PTGDS","PTGDS",2,2.79556225879266,4
"DHCR7","DHCR7",4,2.87948326678677,4
"SLC7A3","SLC7A3",1,2.79853368610087,4
"SNX10","SNX10",2,2.90643564541128,4
"HSPA1B","HSPA1B",3,2.2399861296039,4
"TFEC","TFEC",2,2.9949626219027,4
"SNORA13","SNORA13",1,2.49683213561776,4
"IKZF3","IKZF3",2,3.87308171367485,4
"APOBEC3A","APOBEC3A",2,2.24898658115957,4
"SRD5A1","SRD5A1",4,2.46095389043491,4
"VIPR2","VIPR2",1,3.05241437460535,4
"ST14","ST14",4,2.95775739857224,4
"CHST1","CHST1",4,2.458212288949,4
"PLP1","PLP1",1,2.91116729454567,4
"GPIHBP1","GPIHBP1",1,3.23434104556083,4
"TMC8","TMC8",2,3.58077317925099,4
"RPL18A","RPL18A",4,2.34344712805216,4
"SOX9","SOX9",4,2.78259926187778,4
"TSPAN8","TSPAN8",1,2.2337010554344,4
"PGR","PGR",1,2.77276483895307,4
"CARD11","CARD11",2,3.37115648102638,4
"MIAT","MIAT",2,3.1090650469098,4
