"","Sample","Cluster","Max_Coefficient","Rank"
"set4_10_14811_665_NL_Str","set4_10_14811_665_NL_Str",1,0.258705909525923,4
"set4_10_14814_666_DCIS_Str","set4_10_14814_666_DCIS_Str",1,0.202853196421582,4
"set4_10_14815_666_IBC_Str","set4_10_14815_666_IBC_Str",4,0.254931818734512,4
"set4_10_14817_666_NL_Str","set4_10_14817_666_NL_Str",1,0.221323686513304,4
"set4_10_14819_666_BBD_Str","set4_10_14819_666_BBD_Str",1,0.253116302829885,4
"set4_10_14854_671_UDH_Str","set4_10_14854_671_UDH_Str",1,0.262864950018837,4
"set4_10_14858_671_IBC_Str","set4_10_14858_671_IBC_Str",4,0.251103720844969,4
"set4_10_14859_671_DCIS_Str","set4_10_14859_671_DCIS_Str",4,0.26059178483942,4
"set4_10_14861_671_AM_Str","set4_10_14861_671_AM_Str",1,0.223669890982932,4
"set4_10_14863_671_CCC_Str","set4_10_14863_671_CCC_Str",1,0.214468829546786,4
"set4_10_14823_667_IBC_Str","set4_10_14823_667_IBC_Str",2,0.232343833637528,4
"set4_10_14824_667_DCIS_Str","set4_10_14824_667_DCIS_Str",1,0.20029999956052,4
"set4_10_14825_667_NL_Str","set4_10_14825_667_NL_Str",1,0.223922236674835,4
"set4_10_14827_668_IBC_Str","set4_10_14827_668_IBC_Str",4,0.250237315129184,4
"set4_10_14831_668_DCIS_Str","set4_10_14831_668_DCIS_Str",1,0.217962854243267,4
"set4_10_14832_668_NL_Str","set4_10_14832_668_NL_Str",1,0.229232857314869,4
"set4_10_14835_669_IBC_Str","set4_10_14835_669_IBC_Str",4,0.262696832489618,4
"set4_10_14836_669_NL_Str","set4_10_14836_669_NL_Str",1,0.208107669484206,4
"set4_10_14838_669_DCIS_Str","set4_10_14838_669_DCIS_Str",1,0.196356276287049,4
"set4_10_14841_670_EN_Str","set4_10_14841_670_EN_Str",1,0.257337670829521,4
"set4_10_14842_670_DCIS_Str","set4_10_14842_670_DCIS_Str",4,0.200818945023583,4
"set4_10_14845_670_DCIS_Str","set4_10_14845_670_DCIS_Str",2,0.152790470054706,4
"set4_10_14846_670_IBC_Str","set4_10_14846_670_IBC_Str",4,0.232544334369326,4
"set4_10_14850_670_BBD_Str","set4_10_14850_670_BBD_Str",1,0.231593029760018,4
"set4_10_14851_670_CCC_Str","set4_10_14851_670_CCC_Str",1,0.265146521580453,4
"set4_10_14852_670_AM_Str","set4_10_14852_670_AM_Str",1,0.242320406571297,4
"set4_10_14865_672_inf_NL_Str_S2_R1_001","set4_10_14865_672_inf_NL_Str_S2_R1_001",1,0.2349973995581,4
"set4_10_14867_672_IBC_Str_1_S4_R1_001","set4_10_14867_672_IBC_Str_1_S4_R1_001",4,0.288233409034776,4
"set4_10_14871_672_DCIS_Str_S8_R1_001","set4_10_14871_672_DCIS_Str_S8_R1_001",2,0.179691319355061,4
"set4_10_14872_672_CaLob_Str_S9_R1_001","set4_10_14872_672_CaLob_Str_S9_R1_001",2,0.247996595910901,4
"set4_10_14874_672_NL_Str_S11_R1_001","set4_10_14874_672_NL_Str_S11_R1_001",1,0.266007547190387,4
"set4_10_14877_672_CCC_Str_S14_R1_001","set4_10_14877_672_CCC_Str_S14_R1_001",1,0.252640199775308,4
"set4_10_14879_673_IBC_Str_S16_R1_001","set4_10_14879_673_IBC_Str_S16_R1_001",4,0.272366799583043,4
"set4_10_14881_673_DCIS_Str_S18_R1_001","set4_10_14881_673_DCIS_Str_S18_R1_001",2,0.27896450121241,4
"set4_10_14883_673_NL_Str_S20_R1_001","set4_10_14883_673_NL_Str_S20_R1_001",1,0.234319690012522,4
"set4_10_14885_673_AM_Str_S22_R1_001","set4_10_14885_673_AM_Str_S22_R1_001",1,0.254622781331962,4
"set4_10_14887_673_CCC_Str_S24_R1_001","set4_10_14887_673_CCC_Str_S24_R1_001",1,0.267251036746376,4
"set4_10_14889_673_EN_Str_S26_R1_001","set4_10_14889_673_EN_Str_S26_R1_001",1,0.260447347897512,4
"set4_10_14891_674_DCIS_Str_S28_R1_001","set4_10_14891_674_DCIS_Str_S28_R1_001",4,0.143609711319206,4
"set4_10_14893_674_IBC_Str_S30_R1_001","set4_10_14893_674_IBC_Str_S30_R1_001",4,0.202822706941756,4
"set4_10_14895_674_BBD_Str_S32_R1_001","set4_10_14895_674_BBD_Str_S32_R1_001",1,0.222354060731394,4
"set4_10_14900_675_EN1_Str_S34_R1_001","set4_10_14900_675_EN1_Str_S34_R1_001",1,0.257071068534594,4
"set4_10_14902_675_EN2_Str","set4_10_14902_675_EN2_Str",1,0.253359153264476,4
"set4_10_14903_675_EN3_Str","set4_10_14903_675_EN3_Str",1,0.244139711175507,4
"set4_10_14906_675_NL_Str","set4_10_14906_675_NL_Str",1,0.257371843055615,4
"set4_10_14923_677_IBC_Str","set4_10_14923_677_IBC_Str",2,0.199920793594191,4
"set4_10_14925_677_DCIS_Str","set4_10_14925_677_DCIS_Str",2,0.207191231945285,4
"set4_10_14927_677_NL_Str","set4_10_14927_677_NL_Str",2,0.202538237169013,4
"set4_10_14929_677_LVI_Str","set4_10_14929_677_LVI_Str",2,0.206134811319353,4
"set4_10_14931_678_IBC_Str","set4_10_14931_678_IBC_Str",4,0.248874786339121,4
"set4_10_14933_678_PLC_Str","set4_10_14933_678_PLC_Str",1,0.256247039919242,4
"set4_10_14935_678_EN_Str","set4_10_14935_678_EN_Str",1,0.283208866899027,4
"set4_10_14937_678_NL_Str","set4_10_14937_678_NL_Str",1,0.234884883476335,4
"set4_10_14939_679_IBC_Str","set4_10_14939_679_IBC_Str",4,0.291626246264566,4
"set4_10_14941_679_DCIS_Str","set4_10_14941_679_DCIS_Str",1,0.218434793835639,4
"set4_10_14943_679_NL_Str","set4_10_14943_679_NL_Str",1,0.251691268276382,4
"set4_10_14955_680_DCIS_2_Str","set4_10_14955_680_DCIS_2_Str",2,0.185790312645232,4
"set4_10_14957_680_ADH_2_Str","set4_10_14957_680_ADH_2_Str",1,0.182200857427141,4
"set4_10_14945_680_ADH_1_Str","set4_10_14945_680_ADH_1_Str",1,0.24354715053615,4
"set4_10_14947_680_UDH_Str","set4_10_14947_680_UDH_Str",1,0.253101989013942,4
"set4_10_14949_680_NL_Str","set4_10_14949_680_NL_Str",1,0.239712107007176,4
"set4_10_14951_680_DCIS_1_Str","set4_10_14951_680_DCIS_1_Str",2,0.179829411137043,4
"set4_10_14953_680_IBC_Str","set4_10_14953_680_IBC_Str",4,0.212197982737147,4
"set4_10_14959_680_LG_DCIS_Str","set4_10_14959_680_LG_DCIS_Str",2,0.228698281800861,4
"set4_10_14961_680_AM_Str","set4_10_14961_680_AM_Str",4,0.298121925472272,4
"set4_10_14967_681_DCIS_Str","set4_10_14967_681_DCIS_Str",1,0.191391133059434,4
"set4_10_14969_681_AM_Str","set4_10_14969_681_AM_Str",1,0.26714438478357,4
"set4_10_14971_681_EN_Str","set4_10_14971_681_EN_Str",1,0.215014849793198,4
"set4_10_14973_681_ADH_1_Str","set4_10_14973_681_ADH_1_Str",1,0.192502432944748,4
"set4_10_14975_681_IBC_Str","set4_10_14975_681_IBC_Str",4,0.294160433226308,4
"set4_10_14977_681_NL_Str","set4_10_14977_681_NL_Str",1,0.273768422292649,4
"set4_10_14979_682_NL_Str","set4_10_14979_682_NL_Str",1,0.233594655808132,4
"set4_10_14981_682_EN_Str","set4_10_14981_682_EN_Str",1,0.22926018888789,4
"set4_10_14983_682_IBC_Str","set4_10_14983_682_IBC_Str",2,0.204333976639101,4
"set4_10_14985_682_Inf_NL_Str","set4_10_14985_682_Inf_NL_Str",2,0.224123203893132,4
"set4_10_14988_683_DCIS_Str","set4_10_14988_683_DCIS_Str",2,0.177900961966219,4
