"","Sample","Cluster","Max_Coefficient","Rank"
"set1_3_14086_558_DCIS_Ep_2","set1_3_14086_558_DCIS_Ep_2",2,0.068524305179729,4
"set1_3_14088_558_IN_Ep","set1_3_14088_558_IN_Ep",3,0.0539243286109589,4
"set1_3_14092_557_IBC_Ep","set1_3_14092_557_IBC_Ep",2,0.113391941892626,4
"set1_3_14094_557_DCIS_Ep","set1_3_14094_557_DCIS_Ep",2,0.0908899383158245,4
"set1_3_14096_556_IBC_Ep_1","set1_3_14096_556_IBC_Ep_1",4,0.106934632680163,4
"set1_3_14098_556_ADH_Ep_1","set1_3_14098_556_ADH_Ep_1",1,0.0802775506183342,4
"set1_3_14100_556_ADH_Ep_2","set1_3_14100_556_ADH_Ep_2",1,0.087988159758965,4
"set1_3_14102_556_AM_Ep","set1_3_14102_556_AM_Ep",4,0.144346763170067,4
"set1_3_14104_556_IBC_Ep_2","set1_3_14104_556_IBC_Ep_2",4,0.109728351744726,4
"set1_3_14108_556_NL_Ep","set1_3_14108_556_NL_Ep",3,0.0668947728547506,4
"set1_3_14110_555_IN_Ep","set1_3_14110_555_IN_Ep",3,0.0766287577450087,4
"set1_3_14112_555_iIBC_Ep","set1_3_14112_555_iIBC_Ep",2,0.078330944187272,4
"set1_3_14114_555_IBC_Ep","set1_3_14114_555_IBC_Ep",2,0.0922122442302706,4
"set1_3_14116_555_CCC_Ep","set1_3_14116_555_CCC_Ep",1,0.064413989385296,4
"set1_3_14118_555_NL_Ep","set1_3_14118_555_NL_Ep",3,0.0414217347781667,4
"set1_3_14120_554_RS_Ep_1","set1_3_14120_554_RS_Ep_1",1,0.0632639327067651,4
"set1_3_14124_554_EN_Ep","set1_3_14124_554_EN_Ep",1,0.0471176047217307,4
"set1_3_14126_554_IBC_Ep","set1_3_14126_554_IBC_Ep",2,0.0813827832467945,4
"set1_3_14128_554_UDH_Ep","set1_3_14128_554_UDH_Ep",1,0.05169293662136,4
"set1_3_14130_554_DCIS_Ep","set1_3_14130_554_DCIS_Ep",2,0.0619877379258238,4
"set1_3_14134_554_NL_Ep","set1_3_14134_554_NL_Ep",1,0.0460776725883127,4
"set4_10_14731_656_IBC_Ep","set4_10_14731_656_IBC_Ep",2,0.107159263312045,4
"set4_10_14733_656_BBD_Ep","set4_10_14733_656_BBD_Ep",1,0.101539362419806,4
"set4_10_14735_656_NL_Ep","set4_10_14735_656_NL_Ep",1,0.076455747561758,4
"set4_10_14737_657_CCC_Ep","set4_10_14737_657_CCC_Ep",4,0.0842778468454794,4
"set4_10_14739_657_NL_Ep","set4_10_14739_657_NL_Ep",1,0.099424877685132,4
"set4_10_14741_657_DCIS_Ep","set4_10_14741_657_DCIS_Ep",4,0.109189752926689,4
"set4_10_14744_657_IBC_Ep","set4_10_14744_657_IBC_Ep",4,0.0884714477236371,4
"set4_10_14745_658_DCIS_Ep","set4_10_14745_658_DCIS_Ep",2,0.077561563922538,4
"set4_10_14746_658_IBC_Ep","set4_10_14746_658_IBC_Ep",2,0.0948246082011937,4
"set4_10_14747_658_NL_Ep","set4_10_14747_658_NL_Ep",3,0.0998137482898324,4
"set4_10_14751_659_DCIS_Ep","set4_10_14751_659_DCIS_Ep",1,0.0864044059022337,4
