Mixture	luminal epithelial cell of mammary gland	mammary gland epithelial cell	basal cell	naive B cell	IgG plasma cell	class switched memory B cell	unswitched memory B cell	IgA plasma cell	effector memory CD8-positive, alpha-beta T cell	gamma-delta T cell	natural killer cell	lymphocyte	mature NK T cell	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	regulatory T cell	T cell	CD4-positive helper T cell	effector memory CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	activated CD8-positive, alpha-beta T cell	myeloid dendritic cell	non-classical monocyte	macrophage	classical monocyte	conventional dendritic cell	M1 macrophage	myeloid cell	M2 macrophage	plasmacytoid dendritic cell	neutrophil	fibroblast	endothelial cell of lymphatic vessel	vein endothelial cell	endothelial cell of artery	capillary endothelial cell	pericyte	vascular associated smooth muscle cell	mast cell	P-value	Correlation	RMSE
BCRF4_10_14857_671_IBC_Ep	0.093495197163513	0.246716186657493	0.0272747115760577	0	0.00150665369600243	0.0763893108565256	0.0143459947772819	0.00441033226209569	0.0214641198328567	0	0	0.0397721060131367	0.0238997985504886	0	0.0741490664832826	0.00549990586113814	0.000325974929719314	0	0.0188914100214103	0.00693258722129911	0	0	0	0	0	0	0	0.233749433786567	0	0	0.0065187161270947	0.0408069014047705	0.00291384149807342	0	0	0.0391535743761686	0.0143580114749597	0.00742616543006554	0	0	0.731741549428613	0.859570580258245
BCRF4_10_14862_671_CCC_Ep	0.354733163928754	0	0.114512830270754	0	0	0.102040847119689	0	0	0.00349656909560085	0	0	0.0349195501814522	0.00972801569504125	0	0.0866686218312032	0.0193481905066169	0	0	0	0.024927018878055	0.00469692207165719	0	0	0.00830469971829618	0	0	0	0.140501788396098	0.000334510153417751	0.0113234666419556	0	0.0311394867258196	0.00487892269718435	0	0	0.0322574729952047	0.0010547951340534	0.0151331279591469	0	0	0.653921532545212	0.899600050585569
BCRF4_10_14820_667_IBC_Ep	0.192784393442981	0	0.0389966302818293	0	0	0.0664607266255699	0.0641770341930636	0	0	0.0277212839897544	0	0	0	0.113871718421999	0.034472632557359	0.00285882418658967	0.130254838737914	0	0	0.00699175874934312	0	0.00416024849413928	0	0.00226574178905466	0	0	0	0.266784719018967	0	0.00299141102837398	0.00852853677059575	0	0.000269831988776058	0	0	0.0277652532581392	0.00864441646555133	0	0	0	0.545475421115247	0.916248642478379
BCRF4_10_14821_667_DCIS_Ep	0.161220924064949	0.0675411308954352	0.0708255947248988	0	0	0.0749074526974521	0.0507656270548622	0	0.020724172031304	0	0	0.0304701864658093	0.0131131259025729	0.049465217540064	0.0659972509398735	0.0184614807965424	0.0239261054865608	0	0.00430300800378995	0	0	0	0	0.0158896048509342	0	0	0	0.304095955341863	0	0.00439554872942683	0.00514078832351883	0.00473361962755376	0	0	0	0.0105479537153868	0.00347525280720234	0	0	0	0.743876992759823	0.86894892293725
BCRF4_10_14822_667_NL_Ep	0.288525368805706	0.135947257269843	0.116592836573095	0	0.00235719595053742	0.0997762803885249	0	0.00153279783161481	0.00173473105073608	0	0	0.0336203748807957	0.0165291964734896	0	0.0817320437590619	0.0112735739398013	0	0	0.000171500431150997	0.00400022881312492	0.00975244839424169	0	0	0	0	0	0.00856021852584314	0.146333931933899	0	0	0.000870346510175384	0.0120484798480143	0.000353540674830722	0	0.00262623344728739	0.0214500724707156	0.00341035579427331	0.000800986233237203	0	0	0.760942904993128	0.865573667679895
BCRF4_10_14826_668_IBC_Ep	0.212675534811128	0.201134932279403	0.0879619664151839	0	0.000373360649634142	0.0575569997400497	0.0358981069339357	0	0.0229136627867735	0	0	0.0278436203344523	0	0.0292897561486785	0.0196880347400054	0.00725143918620823	0.0665385101769616	0	0	0.000142448901029893	0	0	0	0	0	0	0	0.184355443668294	0	0	0	0	0.00220258740824958	0	0	0.0310370864871048	0.0131365093329083	0	0	0	0.766287765888326	0.860125457923347
BCRF4_10_14828_668_DCIS_Ep	0.397934891931786	0	0.0276781004794031	0	0	0.0994033882512041	0.00714941902367018	0.00102764591126461	0.00854438627936843	0	0	0.0396236144807832	0.00836399847825577	0	0.10100361971925	0.0342310768411864	0	0	0.0189208732881502	0.00995776389292639	0	0	0	0.00170738293034224	0	0	0	0.18263964472542	0	0.00353525253519257	0	0.0128417695835274	0.000598667729013215	0	0	0.0294746298518347	0.000260951846905607	0.0151029222205155	0	0	0.489041893896639	0.928555785975501
BCRF4_10_14829_668_NL_Ep	0.193472095349479	0.0409641536324473	0.103022894587962	0.017729745488232	0.011413290356488	0.0658844567320286	0.0137727857569302	0.0101769181884829	0.0116993421384161	0	0	0.0510913383798618	0.0179512338938702	0.0661451725942641	0.0686135452597852	0.0167349092123876	0	0	0.0219604614980822	0	0	0	0	0	0	0	0	0.165114130469606	0.00316121079341976	0	0	0.0660969364950438	0	0	0.0127556426057926	0.0298139721959486	0	0.0124257643714724	0	0	0.786719854693504	0.859747572342311
BCRF4_10_14830_668_EN_Ep	0.214479935711411	0.0685792332070506	0.154410832540647	0	0.00113033067122563	0.0780543518664725	0	0	0.0290178330085036	0	0	0.0503098877719744	0.0243870810409938	0.00850572305608124	0.0884196671301548	0.00489594993515125	0	0	0	0	0	0	0	0.000511614794296613	0	0	0.02427462465026	0.136353185268007	0.0014143708160258	0.011472163941936	0	0.0437878602752457	0.000713388846793713	0	0.00531979659558816	0.0413544801791041	0	0.0126076886930766	0	0	0.515444674525678	0.921801399924838
BCRF4_10_14833_669_IBC_Ep	0.208354681357655	0.0390086219627492	0.163023447740863	0	0	0.0835318436159173	0.0338063995896397	0	0.000125050711328373	0	0	0.0188687857332285	0.0115256902264522	0	0.0658601720228486	0	0.105745909821516	0	0	0.0163002443986441	0	0	0	0	0	0	0	0.169648883528111	0	0	0	0.0132682740547105	0.0109142037907582	0	0.00145191481917512	0.0365515054553364	0.0220143711710677	0	0	0	0.579011631706153	0.915930109092947
BCRF4_10_14834_669_NL_Ep	0.166374555092673	0.196847968686185	0.185079174703077	0	0.00342361732169467	0.0694640581795972	0.0108637772376223	0.00984171302427465	0.0154009124627867	0	0	0.0382073412461793	0.0274099201598765	0	0.0656325006759311	0.0105084099716496	0	0	0.00791598313841525	0	0.00301201208569326	0	0	0	0	0	0.0104138206056604	0.0981729680046333	0.00439928489889453	0.00622267624779511	0.00440608985052725	0.0277105064578149	0	0	0	0.025764701485511	0.0129280084635071	0	0	0	0.754853385511209	0.860410001133143
BCRF4_10_14837_669_DCIS_Ep	0.225456125875185	0.0832042171318415	0.11145525028002	0	0.000119178243198747	0.0694484842889382	0.0331222188816217	0	0.0218129955491133	0	0	0.0260403973118521	0.0194070404046299	0.0402989574853039	0.0542100202166684	0	0.0441172021393939	0	0.0388608957881247	0	0	0	0.00241564244535229	0	0	0	0	0.144626951002799	0.000205653527605737	0	0	0.0389344799319533	0.0140465178945286	0	0.00983545538484765	0.011187570367118	0.00952925397963511	0.00166549187026833	0	0	0.692017795302705	0.890964338829378
BCRF4_10_14839_670_EN_Ep	0.335640538983571	0.0748952004114102	0.0693771620207467	0	0	0.134962147864967	0	0	0.000372814733059074	0	0	0.0445963169729599	0.0123616520549158	0	0.0860615736552759	0	0	0	0	0.012928762344463	0.00105319748239099	0	0	0.00541666238405053	0	0	0	0.135517997979442	0	0.0127872150656386	0	0.0251218486440929	0.00814968976418337	0	0	0.0293047897545282	0	0.011452429884305	0	0	0.592438648922348	0.906672548512672
BCRF4_10_14840_670_DCIS_Ep	0.396449831721005	0	0.0638584545045247	0	0.00110619076304873	0.0835984358599259	0.00533501175324263	0.0060729448828614	0.0102974040084308	0	0	0.0185758996497376	0.0107689055622698	0.0309828783774276	0.0731497934788304	0.0105021214486216	0.002297192331147	0	0.0108628853662584	0.00397790077049379	0	0	0	0.0456641630835676	0	0	0	0.176028896080389	0	0	0.00211646754881922	0.00833900710107198	0	0	0	0.0332731084742807	0.00674250723404642	0	0	0	0.434431736148125	0.933839239104509
BCRF4_10_14843_670_DCIS_Ep	0.443102844863893	0	0.0148763495474007	0	0.00102230550267384	0.0762182588377879	0.0271377165784218	0.0013452627309462	0.0144649824701819	0	0	0.0431442769162665	0.00567924899827249	0.0694245602210753	0.0597114190576801	0.0106692490325468	0	0	0.0282875480475906	0	0	0	0	0.00534286876367963	0	0	0	0.161599752000824	0	0.000793219007354466	0.00165088993975275	0	0.00433642434219108	0	0	0.0250746879713526	0.00492122492876518	0.00119691024134421	0	0	0.391078630287903	0.945525906379834
BCRF4_10_14844_670_IBC_Ep	0.34476663554057	0	0.00899270541965075	0	0.00371804399365704	0.0796089326574034	0.0119126097547265	0.00511147025033962	0.025175441387557	0	0	0.0213184919176134	0.0159391500714474	0.0376137168749898	0.0652537665986378	0.00405062549599854	0	0	0.0416297705052551	0	0	0	0	0.00505279071231733	0	0	0	0.179732970615203	3.65570323602574e-05	0.0191549332290684	0.00659377327419815	0.0570718259388612	0.00523552804325107	0	0	0.0481743468100844	0.01385591387681	0	0	0	0.420047329989777	0.938498399114123
