Mixture	luminal epithelial cell of mammary gland	mammary gland epithelial cell	basal cell	naive B cell	IgG plasma cell	class switched memory B cell	unswitched memory B cell	IgA plasma cell	effector memory CD8-positive, alpha-beta T cell	gamma-delta T cell	natural killer cell	lymphocyte	mature NK T cell	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta T cell	regulatory T cell	T cell	CD4-positive helper T cell	effector memory CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	activated CD8-positive, alpha-beta T cell	myeloid dendritic cell	non-classical monocyte	macrophage	classical monocyte	conventional dendritic cell	M1 macrophage	myeloid cell	M2 macrophage	plasmacytoid dendritic cell	neutrophil	fibroblast	endothelial cell of lymphatic vessel	vein endothelial cell	endothelial cell of artery	capillary endothelial cell	pericyte	vascular associated smooth muscle cell	mast cell	P-value	Correlation	RMSE
BCRF4_10_14969_681_AM_Str	0.0107718608146066	0	0.00798001473492263	0.0385607717196167	0.000727851563989229	0.0312061498282232	0	0.0191737776581063	0.030525470927138	0	0	0.057508879458353	0.0206588811320804	0	0.0937042861712614	0.0196747461571407	0	0	0	0	0.00397797421955597	0	0	0.0211465338843048	0	0	0	0.157232965624693	0	0.00724946098124633	0.000698593373799478	0.319065400627723	0.00800173173891264	0	0	0.137094333534895	0.014814739843838	0.000225576005594482	0	0	0.782720282063039	0.852046842603312
BCRF4_10_14971_681_EN_Str	0.0142642686628558	0	0.0263378777769337	0.00577062776414111	0.0375477662326077	0.0189762612727423	0.0170274916645995	0.12146050466426	0.026529701320053	0	0.00610751389071538	0.0403893211602951	0.00624715942547757	0	0.0783414976106055	0.0201935726049466	0	0	0	0	0.0241407960303552	0	0.0106129076989459	0	0	0	0.0037989292060845	0.129681784053857	0	0.00606173774379956	0.00345871364684713	0.216779691633666	0	0.0117143657089618	0	0.107110180038527	0.055020379272669	0.0124269509160539	0	0	0.979328395168165	0.421051093184115
BCRF4_10_14973_681_ADH_1_Str	0	0.00637203001208579	0.00701687809352752	0.009102505175221	0.0432160151584875	0.0479759641886406	0.0030443108104649	0.0443134865856872	0.0162628518561569	0	0.00108239461004393	0.0318370352770481	0.0299522365049196	0	0.145569787607351	0.026607181325938	0	0	0	0	0.0390000016666391	0	0.00368326584848626	0.00233602139103306	0	0	0	0.152479917395773	0.00311192271526645	0.0336546814378238	0.00195797998260685	0.195818480294346	0.0134666187596772	0	0	0.104578724962985	0.0375597083397912	0	0	0	0.94797428341361	0.643093293583006
BCRF4_10_14975_681_IBC_Str	0.00577965732935039	0.045676241443768	0.0101099370471973	0.0019720459926624	0.00136846708222027	0.0705618127522634	0	0.0167907670938977	0.00515282296542677	0	0	0.0287306421707673	0.0293689387287824	0	0.0900870040516839	0.011019830226328	0	0	0	0.019225957700684	0.0115254583904626	0	0.00810180495941284	0.0234566869825938	0	0	0	0.245065943706144	0	0.00454246714033031	0	0.240799368219702	0.0164917340805618	0	0	0.0922809241326404	0.0167852813230865	0.00510620648003363	0	0	0.68380514368753	0.871376738116833
BCRF4_10_14977_681_NL_Str	0	0	0.00777135148030905	0	0.0271377756477839	0.0650096822976131	0	0.133411416470653	0.0456169398106456	0	0.00234885405351401	0.045823902040525	0.0150311805707054	0	0.0928485455039312	0.0165022485749093	0	0	0	0.00305570402251774	0.0046247499139865	0	0	0.00512079590730418	0	0	0	0.126856053542964	0	0.00984728733998931	0	0.280623036642514	0.00302715605493609	0	0	0.0938584029588336	0	0.0214849171663649	0	0	0.979608469575459	0.423616520173977
BCRF4_10_14979_682_NL_Str	0.00538907554287113	0	0.00924566277934742	0.080800452852902	0.119600228030324	0.0646968250706424	0	0.0340577428647596	0.0293391663656222	0	0.00243985985173623	0.0237419764910058	0.0398664571704766	0	0.105388529371197	0.0106809076122626	0	0	0	0	0.0146766285604081	0	0	0.0309524365521214	0	0	0	0.135079388561116	0	0.00429804922345033	0.00365990497578268	0.181833464632704	0	0	0	0.0940630605503061	0.0101901829409642	0	0	0	0.944711799814246	0.411761000356948
BCRF4_10_14981_682_EN_Str	0.00999010702836193	0.00793937940560705	0.00783029528272285	0.0262880678708572	0.0697097484098191	0.0788534391366716	0	0.00839271849584552	0.0180805735660327	0	0	0.0425938994649724	0.048151535610247	0	0.0728671941738715	0.0319544409616945	0	0.0088386384826805	0	0	0.0208835135026683	0	0	0	0	0	0	0.186304866543786	0.000357397830074846	0.0117030684809493	0.00307144512537222	0.241983787456625	0.00928679794777208	0	0	0.0856992880131882	0.0051497916275675	0.00407000558261262	0	0	0.924125870543957	0.649541269591127
BCRF4_10_14983_682_IBC_Str	0	0	0.0146003965372932	0.0142427390359886	0.16750269314894	0.0764905032409821	0.0136264614023409	0	0.00108241793489265	0	0	0.0179793050029863	0.0350990586190483	0	0.114006403573595	0.0377220500066197	0.0130621812622719	0	0	0.00329481333985978	0.0225119917284394	0.000497744095920239	0	0.0668555828053697	0	0	0.00123363937302075	0.164211055609662	0	0.0113654402241398	0	0.10444065087272	0.00119164608449827	0	0	0.066867906015734	0.0521153200856775	0	0	0	0.931896990871964	0.381764913142824
BCRF4_10_14985_682_Inf_NL_Str	0	0	0.000514112532035384	0.0634006513677108	0.149432801350416	0.0960882796794083	0	0.00377049438216543	0.00431947827542954	0	0.00422070082274556	0.0235418993547998	0.0329166088713346	0	0.159327625813331	0.0140375830673208	0	0.00645330675350837	0	0	0.0473154834469098	0	0	0.0189156293442464	0	0.00397042599887011	0	0.128687712919438	0.010176019003902	0.0217103295655168	0	0.110185264070017	0.00345706022759455	0	0	0.0711764691107856	0.0263820640425147	0	0	0	0.938146795005805	0.398622945337674
BCRF4_10_14988_683_DCIS_Str	0.00844700103795139	0.000508060431951319	0.00252511518274777	0.0280255739971319	0.057572393374024	0.0554725995251328	0.0182242697984971	0.0135438055991144	0.0122852322030201	0	0.00373128809327932	0.0220345601459359	0.0406189222463696	0	0.113934646275119	0.0378049456715566	0	0	0	0	0.0442267088525406	0.00204570339334802	0	0.0438104823085369	0	0	0	0.164997980466248	0	0.0376208382612469	0	0.192091127227383	0.00678715784645999	0	0	0.0831993858144496	0.0104922022479559	0	0	0	0.934403486955057	0.670724128129812
BCRF4_10_14991_684_ADH_DCIS_Str	0	0.0257062568321918	0.0157511916186191	0.0139235276171268	0.131660342131866	0.0690670065269728	0.00718521890501356	0.0392646487967282	0.0177390376840192	0	0.000502123297484471	0.0230042628975444	0.0216491556063653	0	0.137825307337072	0.0329124319713481	0	0	0	0	0.0276273760624438	0.00697698871692414	0.00195493051024424	0.019481736982326	0	0	0.0162112526981274	0.184757555886296	0	0.0157050250523966	0.00297716703300221	0.106871485487085	0.00244780294144246	0	0	0.0461452477942725	0.0326529196130883	0	0	0	0.960849468935756	0.338309149590233
BCRF4_10_14993_684_DCIS_Str	0	0.00994934092477359	0.0136969286307751	0.0230719347476704	0.0923333670637689	0.0590487229868895	0.0179282988065064	0.0558128299606514	0.0174130090550961	0	0	0.0174800636005779	0.0255856771492803	0	0.196505487626734	0.0299049080623472	0.00410780869067256	0	0	0	0.0566327373265798	0.00830358975187694	0	0.026810663473396	0	0	0	0.164457859033828	0	0.0113503441684926	0.000543671657001234	0.0875706149120138	0.00175922994326606	0.00246524795045454	0	0.0513677060716413	0.0258999584057064	0	0	0	0.961397537446931	0.425013350291899
BCRF4_10_14995_684_NL_Str	0	0	0.0179060699961229	0.0288274703003046	0.118596056943238	0.0469092979494411	0	0.0427809116260837	0.0166957773096259	0	0.00227271973830029	0.0334777439412213	0.0310553659128863	0	0.0944012894945874	0.0186420579114766	0	0	0	0	0.0182842241363948	0	0	0.00303118961798981	0	0	0	0.141664509542167	0.00410648950048129	0.00613410054843248	0.000489854146029313	0.265152845210317	0.000853543513570154	0	0	0.103087342491341	0	0.00563114016998917	0	0	0.961968761557237	0.367952136359261
