Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF1_3&EN_13865_547_CCC_Str_1	0.185348192951047	0.166703316895623	0.0804634327351562	0.447403419767439	0.109239992663063	0.0060175357709333	0.00374161681290543	0.00108249240383354	0	0.662005398136761	0.754579185036188
BCRF1_3&EN_13867_547_CCH_Str_1	0.108490719378748	0	8.77176367021229e-05	0.579176651410688	0.298509105503538	0.00454891104737943	0.00911382511827211	7.3069904671777e-05	0	0.676231425149468	0.795674237848944
BCRF1_3&EN_13869_547_IBC_Str_1	0.0756411173294962	0.0187467459378055	0.000769675315066679	0.849787510831313	0.0506463682737612	0.0044085823125573	0	0	0	0.964734098859037	0.474656090808443
BCRF1_3&EN_13871_547_DCIS_Str	0.0918754226405908	0.0188251092644906	0.0199379753912063	0.762994031009207	0.101945042194599	0.00442241949990636	0	0	0	0.948943167315988	0.422964500999532
BCRF1_3&EN_13873_547_CCC_Str_2	0.0777140431176952	0.0155010294528563	0.00950461722981032	0.762396898886277	0.130507659039182	0.00410071696272333	0	0.00027503531145574	0	0.900033733024726	0.547981463610401
BCRF1_3&EN_13877_547_CCC_Str_3	0.150968066951488	0.0290967898286796	0.0140578391320806	0.626918330054945	0.133461164006367	0.00463121134702177	0.0408320008413092	3.45978381083523e-05	0	0.936043294007513	0.365259638938743
BCRF1_3&EN_13879_547_IBC_Str_2	0.0606826565572011	0.0113564656059053	0	0.775946282452094	0.0447673649443543	0.0033032297872111	0.102634644537507	0.00130935611572723	0	0.924685137188287	0.501438806351485
BCRF1_3&EN_13881_547_NL_Str	0.0960125864770884	0.0190161240817357	0.0114474253591359	0.699485928370843	0.142220967984469	0.00438596483100829	0.0274310028957197	0	0	0.944514381202143	0.3822721529135
BCRF1_3&EN_13883_546_NL_Str	0.0898921482676941	0.000883396454149487	0.00143754618513299	0.476645409217871	0.280175000899894	0.00540840318080915	0.145558095794449	0	0	0.627666266576909	0.803780060581157
BCRF1_3&EN_13885_546_ALH_Str	0.071346077360802	0	0.000658283386320514	0.378588791060402	0.398674597037044	0.00672871763249078	0.143998488747151	5.04477578958541e-06	0	0.502022661717323	0.889412566478601
BCRF1_3&EN_13887_546_IBC_Str	0.244222015207268	0.217970603297271	0.0772502195660728	0.397714852172433	0.0522663706700695	0.00918607596155729	0	0.00138986312532765	0	0.168242964051098	1.10932259692114
BCRF1_3&EN_13889_546_LIN_Str	0.217733111134995	0.0354903660552136	0.165614852254318	0.342014642182688	0.221090292586175	0.0110850483947058	0.0069716873919056	0	0	0.156248839211126	1.09299231005872
BCRF1_3&EN_13891_546_CCH_Str	0.301646017642317	0.101034592099281	0.0352598721239447	0.356397034193537	0.197659075304669	0.00576463857279651	0.00214518020424168	9.35898592131078e-05	0	0.450288603325511	0.915455116177508
BCRF1_3&EN_13893_546_HIN_Str	0.230978273756043	0.407282044677349	0.1822308171629	0.0861128876220193	0.0719515569610852	0.0124006208161545	0.00844532088762059	0.000598478116828412	0	0.102373063251141	1.01903317492616
BCRF1_3&EN_13895_546_MIN_Str	0.218489532979673	0.296149969731169	0.131758868853008	0.224823566246034	0.116059271242945	0.0110091039729002	0.00170968697427196	0	0	0.138554933892977	1.03699861710498
BCRF1_3&EN_13897_545_CCC_Str_1	0.144170754563391	0.164697223843242	0.0690164246622319	0.3319751124251	0.20574646382917	0.00612790717285978	0.0782661135040068	0	0	0.324933186898871	0.982561537821038
BCRF1_3&EN_13899_545_ADH_Str	0.229550832386798	0.103074848879071	0.095694044044206	0.359114165822007	0.182652663040597	0.0086684133157008	0.0195184796616853	0.00172655284993465	0	0.300738132835277	1.01200254665485
BCRF1_3&EN_13901_545_UDH_Str_1	0.160225471674181	0.0986737802239329	0.0175045322692375	0.409363671183585	0.165112253804821	0.0411256220915098	0.107994668752734	0	0	0.332036809689763	1.01497341386639
BCRF1_3&EN_13903_545_AM_Str_1	0.200097943252043	0.191828156912184	0.0190037923703148	0.430480680928884	0.0965000727220739	0.00524506007657314	0.0568442937379274	0	0	0.503792847737891	0.891744990182233
BCRF1_3&EN_13905_545_IBC_Str	0.138012186032829	0.0192324712715365	0.00598026582276163	0.786275534029376	0.0364460787930325	0.00448092991433655	0.00957253413612849	0	0	0.935154502567964	0.482154019692926
BCRF1_3&EN_13907_545_DCIS_Str_1	0.158886163827892	0.032376815685489	0.030667599999792	0.422701333546287	0.264411069644108	0.00401683489744914	0.0869401823989826	0	0	0.543641587114307	0.862552156039075
BCRF1_3&EN_13909_545_CCC_Str_2	0.0717293504094537	0	0.0128049105322266	0.602554783871503	0.207773437947951	0.00596419711868099	0.0960416458380987	0.00313167428208657	0	0.880564238757786	0.489966890025242
BCRF1_3&EN_13917_545_DCIS_Str_2	0.0814620422527552	0.0256013466349544	0.0079176099177194	0.64366942949926	0.106652273684438	0.00561582082752289	0.125835346559819	0.00324613062352981	0	0.934208924227775	0.377199167085122
BCRF1_3&EN_13925_544_DCIS_Str_1	0.131373780094217	0.0243893031247595	0.00508215140548881	0.613879220552598	0.156769318692253	0.00489941886111443	0.0613363196753699	0.00227048759420019	0	0.940330188943937	0.349282145912315
BCRF1_3&EN_13927_544_DCIS_Str_2	0.222793039833516	0.214627780114297	0.0323001256481939	0.499692198265405	0.0187300668266651	0.00893337289231147	0	0.00292341641961189	0	0.676081446351931	0.751054419848394
BCRF1_3&EN_13929_544_IBC_Str	0.320257992909604	0.105032059915941	0.0175596799502334	0.480654615190875	0.0179210415715331	0.00752241422549721	0.0510521962363174	0	0	0.412339712152632	0.995417155507974
BCRF1_3&EN_13931_544_DCIS_Str_3	0.146356560926412	0.171221351469656	0.0859143722362043	0.498708545713689	0.0721038294007828	0.0119831804370015	0.010539344801631	0.003172815014624	0	0.150663149389269	1.19155236435561
BCRF1_3&EN_13939_568_NL_Str	0.104773492666293	0.0243325597446358	0.00572748750559778	0.75162216172976	0.107864268592356	0.00446123984420851	0.0012187899171487	0	0	0.938700623999529	0.441354719711926
