Mixture	Myeloid_cell	T_cell	pDC	Fibroblast	Endothelial_cell	B_cell	Cancer_cell	Mast_cell	P-value	Correlation	RMSE
BCRF4_10_14802_664_ADH_Ep	0.00802448458552904	0	0	0.0124451899829105	0.0285800314024165	0.00029301337722531	0.950657280651919	0	0	0.795476214496984	0.669424853482909
BCRF4_10_14804_664_NL_Ep	0.0543884538626505	0	0.000773813961988664	0.0306422194669614	0.0774130036288834	0.000444058823691838	0.836241542336287	9.6907919536691e-05	0	0.598000889301108	0.812506886741403
BCRF4_10_14805_665_IBC_Ep	0.0207012959349246	0	0	0.154742150333893	0.0131386869121748	0	0.811417866819007	0	0	0.716416489389068	0.721346453301207
BCRF4_10_14807_665_inf_NL_Ep	0.0422639804153986	0.00675779366224461	0.0108700590375875	0.0851833544669146	0.0692151583014321	0.000562663044594738	0.784890373284304	0.000256617787523401	0	0.761566237499313	0.710321339672046
BCRF4_10_14809_665_DCIS_Ep	0.0601854244197148	0.019811286541787	0.0073396515694546	0.0506073183063946	0.0354415687906169	0.000490364613910926	0.825560512787902	0.000563872970219422	0	0.747888778392138	0.720620132675912
BCRF4_10_14810_665_NL_Ep	0.0274749880301614	0.00116271997718356	0.000907247782932846	0.0190762707068225	0.0278114444407953	0.000371985024453747	0.92319534403765	0	0	0.737018476428943	0.716388518445203
BCRF4_10_14812_666_IBC_Ep	0.0328864573576091	0	0	0.184950256362437	0.0240425590645709	0.000716705008463104	0.755308770072535	0.00209525213438419	0	0.830024320359852	0.628333228857525
BCRF4_10_14813_666_DCIS_Ep	0.053413805461924	0	5.49654455151102e-05	0	0.016970640230384	7.77961915593505e-05	0.929482792670618	0	0	0.691701789814455	0.747939145970917
BCRF4_10_14816_666_NL_Ep	0.0298061147554504	0	0.00260259459187342	0.0582930325962898	0.0425238877313721	0	0.865708584858849	0.00106578546616542	0	0.794435217089597	0.679217275490585
BCRF4_10_14818_666_BBD_Ep	0.0129056284326797	0	0	0.0127925832388028	0.023398777107631	0.000120148204080126	0.950474532990415	0.000308330026391566	0	0.839674016117467	0.634608003833415
BCRF4_10_14853_671_UDH_Ep	0.00310150082647716	0	0	0.00772285326663618	0.013894680465038	0.000196577892684613	0.975084387549164	0	0	0.754618209752441	0.696779183942393
BCRF4_10_14855_671_AM_Ep	0	0	0.000303497181349812	0	0.0401755393155659	0.000332602227558238	0.959188361275526	0	0	0.43702266074535	0.90402500236995
BCRF4_10_14856_671_DCIS_Ep	0	0	0	0.0522400006535721	0.0092058684659839	0.000454835470545738	0.938099295409898	0	0	0.730116877280438	0.715308463789292
BCRF4_10_14857_671_IBC_Ep	0.0280796191861466	0	0.00245050164628295	0.162333699029436	0.00279198846827457	0.000784509407343314	0.80289710103748	0.00066258122503609	0	0.792342783953976	0.661585534611767
BCRF4_10_14862_671_CCC_Ep	0.0281261478185668	0	7.95665996815444e-05	0.0220314639797187	0.0171977836532942	0.000269292859504037	0.932153666579432	0.000142078509802372	0	0.785755336757112	0.679223162977842
BCRF4_10_14820_667_IBC_Ep	0.0200248014330215	0	0	0.0240182345006073	0.00988733269516199	0.000251382603479777	0.945818248767729	0	0	0.561796443035109	0.829694451503394
BCRF4_10_14821_667_DCIS_Ep	0.108166680311437	0	0	0	0.00617773689895959	0.000314008152834771	0.885341574636769	0	0	0.718994828095744	0.734403013602812
BCRF4_10_14822_667_NL_Ep	0.0424249909460544	0	0.00343252319259032	0	0.0174101278911412	0.000364364660098173	0.936257875748976	0.000110117561139601	0	0.867376934871843	0.617358945184678
BCRF4_10_14826_668_IBC_Ep	0.020707496457866	0	0	0.0112759967027022	0.0143627708690072	0.000336307333933624	0.953317428636491	0	0	0.682383831913195	0.751176623529402
BCRF4_10_14828_668_DCIS_Ep	0.0233353327658936	0	0	0	0.0251432428766922	0.000177385389035301	0.951344038968379	0	0	0.578854208093831	0.819417505591378
BCRF4_10_14829_668_NL_Ep	0.0380116832018225	0	0.00746341228137098	0.0177773720980847	0.0363095232432354	0.000419977406519498	0.899398450189464	0.000619581579502719	0	0.770538735251792	0.696877371533228
BCRF4_10_14830_668_EN_Ep	0.0516112727485998	0	0.00118850556116763	0.014686561746866	0.0410785966582523	0.000549342627683896	0.890420082752888	0.000465637904542462	0	0.62715639275703	0.792321896064841
BCRF4_10_14833_669_IBC_Ep	0	0	0	0.13255157646107	0.0250537424571123	0	0.842394681081818	0	0	0.546310604025549	0.83823313087738
BCRF4_10_14834_669_NL_Ep	0.0209292277929271	0	0.00056806142336266	0.00692161513048538	0.0388692903015576	0.000412671445918633	0.932299133905748	0	0	0.761769962100833	0.69839728790957
BCRF4_10_14837_669_DCIS_Ep	0	0	0	0.0729392641087491	0.0134989566504731	0.000105129300053853	0.913429672325279	2.6977615444991e-05	0	0.615161549582328	0.794847464736627
BCRF4_10_14839_670_EN_Ep	0.00822646149358421	0	0	0	0.0250885517098401	0	0.966684986796576	0	0	0.77420443866037	0.683965514874438
BCRF4_10_14840_670_DCIS_Ep	0.0508365234173956	0	0.00323482713200578	0	0.0274688734535269	0	0.918459775997072	0	0	0.487168164451597	0.874424100079433
